Date,TA,ST1,H2O,SM1,FN2O
,11.96,17.7,11.5162,16.4,1.88733
,12.09,17.6,11.5627,15.75,1.76948
,11.36,17.5,10.6656,15.1,1.63294
,9.67,17.4,10.0838,14.8,2.19401
,8.28,17.3,9.18462,14.5,2.01873
,8.51,17.15,8.97321,14.45,2.12872
,8.57,17,8.67714,14.4,2.13288
,9.11,16.8,8.80686,14.25,1.78812
,8.81,16.6,9.18807,14.1,1.96567
,12.32,16.45,11.2816,14.25,1.59577
,15.15,16.3,13.2677,14.4,1.58683
,17.05,16.3,15.0883,14.05,1.50082
,18.41,16.3,15.5256,13.7,1.3788
,19.45,16.45,16.7801,13.35,1.34949
,19.82,16.6,17.0429,13,1.381
,21.93,16.85,11.9564,12.95,1.46927
,21.88,17.1,11.0398,12.9,1.44843
,23.17,17.35,10.8355,12.9,1.44266
,24.95,17.6,11.3252,12.9,1.51758
,27.75,17.85,10.5635,13.1,1.62656
,28.27,18.1,9.99923,13.3,1.70031
,29.63,18.35,10.7816,13.15,1.909
,29.04,18.6,8.99893,13,1.86535
,29.93,18.8,9.73415,13.15,2.22037
,31.2,19,9.54492,13.3,2.22984
,30.83,19.15,10.115,13.3,2.32476
,31.14,19.3,10.3892,13.3,2.43925
,29.79,19.45,10.1161,13.05,2.40922
,32.15,19.6,9.29146,12.8,2.44756
,29.91,19.65,8.87083,12.8,2.29441
,31.9,19.7,9.72884,12.8,2.35421
,27.26,19.75,8.76767,12.7,2.3836
,26.36,19.8,8.71841,12.6,2.30507
,24.9,19.75,9.05718,12.65,2.35193
,23.92,19.7,9.37394,12.7,2.40046
,22.94,19.6,9.30737,12.7,2.38707
,22.58,19.5,9.07532,12.7,2.23469
,22.14,19.35,9.37409,12.7,2.08736
,20.97,19.2,10.3051,12.7,2.27839
,19.15,19.1,10.0868,12.7,2.30054
,16.4,19,10.7106,12.7,2.99568
,16.18,18.85,10.5967,12.85,2.6759
,15.16,18.7,10.5907,13,2.39611
,14.01,18.5,10.6697,12.95,2.69373
,13.3,18.3,11.0388,12.9,2.60267
,13.45,18.1,10.3455,12.8,2.14318
,10.18,17.9,9.68782,12.7,2.60087
,9.94,17.7,9.59617,12.8,2.45827
,12.14,17.5,9.86465,12.9,2.08409
,10.77,17.3,9.89151,13.55,2.13552
,9.24,17.1,9.61203,14.2,2.17833
,10.41,16.9,9.68345,14.15,2.1873
,9.89,16.7,9.92467,14.1,1.9857
,10.26,16.6,10.2651,13.95,1.61966
,9.35,16.5,10.157,13.8,1.89632
,11.06,16.4,10.6683,14.3,1.87428
,11.66,16.3,10.8781,14.8,1.7396
,13.74,16.3,11.7833,14.9,1.7521
,14.21,16.3,12.5393,15,1.94613
,16.03,16.3,13.0259,14.85,1.67808
,17.57,16.3,13.8321,14.7,1.74202
,18.77,16.4,13.9014,14.4,1.57379
,19.41,16.5,14.1526,14.1,1.80612
,20.29,16.65,14.0261,14.6,1.70137
,22.31,16.8,13.7972,15.1,1.70024
,23.84,17.05,14.3649,15.8,1.61067
,26.75,17.3,14.3446,16.5,1.66668
,29.22,17.6,14.248,15.25,1.94363
,31.78,17.9,15.5754,14,2.10935
,32.9,18.15,14.2598,14,2.18242
,33.81,18.4,15.0267,14,2.3356
,33.22,18.65,14.4894,13.9,2.63665
,30.12,18.9,13.6583,13.8,2.44394
,31.18,19.05,14.1381,13.45,2.35961
,30.46,19.2,14.1101,13.1,2.5121
,30.56,19.3,14.5661,13.05,2.55848
,30.61,19.4,14.7132,13,2.5365
,28.21,19.45,14.5496,13,2.3645
,27.48,19.5,14.3927,13,2.33556
,26.64,19.45,14.8695,13,2.45104
,27.64,19.4,15.3291,13,2.19083
,26.43,19.35,14.774,12.95,2.34951
,26.23,19.3,15.33,12.9,2.33172
,25.63,19.3,14.7214,12.95,2.27042
,24.79,19.3,14.6674,13,2.14294
,24.11,19.2,14.5646,12.95,2.35234
,22.69,19.1,15.2664,12.9,2.39839
,21.7,19.05,15.4923,12.85,2.26123
,20.28,19,15.4032,12.8,2.67174
,20.61,18.95,14.7301,12.8,2.25925
,18.02,18.9,14.7249,12.8,2.28049
,19.09,18.75,15.3566,12.95,2.43714
,18.72,18.6,17.0494,13.1,2.151
,17.78,18.55,18.8161,13.25,2.24358
,17.83,18.5,18.9266,13.4,2.27794
,17.68,18.5,17.6681,13.25,1.93936
,17.6,18.5,17.4559,13.1,1.89363
,17.36,18.45,17.3134,12.95,1.85707
,18.24,18.4,16.6103,12.8,1.80962
,18.49,18.35,16.542,12.75,1.7938
,17.34,18.3,17.4216,12.7,1.68829
,17.55,18.3,17.872,12.75,1.75695
,17.74,18.3,18.0012,12.8,1.61716
,17.2,18.25,17.965,12.8,1.75152
,17.19,18.2,17.9267,12.8,1.67575
,17.34,18.2,18.101,12.85,1.65283
,17.21,18.2,18.0095,12.9,1.64475
,18.41,18.2,18.506,12.85,1.62669
,20.46,18.2,19.2539,12.8,1.69056
,18.97,18.2,18.4483,12.85,1.75182
,19.37,18.2,19.1169,12.9,1.78604
,20.31,18.25,20.2307,13.2,1.8181
,21.51,18.3,21.1346,13.5,1.76865
,22.05,18.35,21.1831,13.25,1.78672
,23.35,18.4,21.7201,13,1.90394
,24.41,18.45,21.7275,12.95,1.89339
,24.12,18.5,21.1301,12.9,1.99876
,24.31,18.6,21.2445,12.9,1.95946
,24.75,18.7,21.2745,12.9,1.93379
,25.89,18.75,21.5785,12.95,2.14753
,22.65,18.8,20.0068,13,2.07501
,21.61,18.85,19.368,13,2.19383
,21.06,18.9,19.1266,13,2.11677
,19.48,18.85,20.1628,13.05,2.18836
,19.23,18.8,21.1102,13.1,2.01391
,19.09,18.8,21.0149,13.2,2.03565
,18.98,18.8,20.3212,13.3,1.91785
,18.76,18.8,19.9995,13.15,1.89006
,19.88,18.8,19.4828,13,1.8073
,18.42,18.8,19.3012,13,1.80824
