Date,A,B,C
,1,3,5
,1.080064,3.08362,4.95953
,1.160409,3.174452,4.920849
,1.241308,3.272524,4.884033
,1.323025,3.377885,4.84917
,1.405814,3.490605,4.816357
,1.489923,3.610776,4.785704
,1.575596,3.738509,4.757331
,1.66307,3.873936,4.731373
,1.752578,4.017205,4.707978
,1.844353,4.168484,4.687308
,1.938622,4.327958,4.669542
,2.035613,4.495827,4.654875
,2.135554,4.672308,4.643521
,2.23867,4.857633,4.635715
,2.345189,5.052047,4.63171
,2.455338,5.255809,4.631785
,2.569348,5.469191,4.636243
,2.68745,5.692476,4.645413
,2.809876,5.925956,4.659656
,2.936865,6.169933,4.679359
,3.068654,6.424717,4.704947
,3.205485,6.690621,4.73688
,3.347602,6.967963,4.775654
,3.495255,7.257064,4.821811
,3.648691,7.55824,4.875934
,3.808166,7.871805,4.938655
,3.973933,8.198065,5.010656
,4.14625,8.537314,5.092675
,4.325374,8.88983,5.185505
,4.511565,9.255871,5.29
,4.705081,9.635665,5.407081
,4.906176,10.029411,5.537732
,5.115105,10.437266,5.68301
,5.332116,10.859336,5.844046
,5.55745,11.295674,6.022046
,5.791342,11.746261,6.218293
,6.034011,12.211003,6.434152
,6.285666,12.689712,6.671067
,6.546497,13.182096,6.930563
,6.816673,13.687744,7.214244
,7.096336,14.20611,7.523789
,7.385601,14.736493,7.860951
,7.684545,15.278023,8.227548
,7.993205,15.829638,8.625453
,8.311573,16.390065,9.056586
,8.639583,16.957797,9.522896
,8.97711,17.531075,10.026345
,9.32396,18.107864,10.568883
,9.679858,18.685831,11.152426
,10.044446,19.262328,11.778817
,10.417267,19.834374,12.449797
,10.797759,20.398636,13.16696
,11.185245,20.951426,13.931703
,11.578921,21.488689,14.745177
,11.977849,22.006008,15.608225
,12.380949,22.49861,16.521325
,12.786987,22.961391,17.484513
,13.194573,23.388938,18.497327
,13.602154,23.775584,19.558725
,14.00801,24.11545,20.667026
,14.410255,24.402533,21.819835
,14.806843,24.630781,23.013993
,15.195568,24.794206,24.245523
,15.574081,24.886996,25.509598
,15.939904,24.90365,26.800523
,16.290445,24.839122,28.111741
,16.623032,24.688967,29.435858
,16.934934,24.449498,30.764706
,17.223401,24.117935,32.089423
,17.485704,23.692543,33.400575
,17.719173,23.172762,34.688302
,17.921247,22.559303,35.942491
,18.08952,21.854224,37.152972
,18.221787,21.060964,38.309741
,18.316093,20.184338,39.403176
,18.370775,19.230491,40.424271
,18.384499,18.206804,41.364851
,18.356297,17.121761,42.217774
,18.28559,15.984772,42.977103
,18.172206,14.805974,43.638246
,18.016388,13.595996,44.198052
,17.818791,12.365718,44.65486
,17.580473,11.126024,45.008504
,17.302872,9.887559,45.260268
,16.987782,8.660509,45.412796
,16.637309,7.454396,45.469972
,16.253837,6.277916,45.436761
,15.839979,5.138802,45.319034
,15.398528,4.043738,45.123374
,14.932406,2.998297,44.856884
,14.444619,2.00693,44.526994
,13.938206,1.072981,44.141278
,13.416199,0.198731,43.707292
,12.881579,-0.614531,43.232426
,12.337243,-1.366421,42.723783
,11.785972,-2.05736,42.18808
,11.23041,-2.688468,41.63157
,10.673039,-3.261455,41.059997
,10.116167,-3.778514,40.478555
,9.561919,-4.242215,39.89188
,9.012228,-4.655415,39.304051
,8.468837,-5.021167,38.718604
,7.933297,-5.342647,38.138556
,7.406974,-5.623083,37.566439
,6.89105,-5.865704,37.004334
,6.386539,-6.07369,36.453917
,5.894289,-6.250136,35.916493
,5.414998,-6.398023,35.393042
,4.949221,-6.520196,34.884261
,4.497382,-6.619351,34.390597
,4.059787,-6.698022,33.91229
,3.636634,-6.758578,33.4494
,3.228022,-6.803221,33.001843
,2.833965,-6.833987,32.569412
,2.454398,-6.852754,32.151806
,2.089189,-6.86124,31.748652
,1.738148,-6.861018,31.359517
,1.40103,-6.85352,30.98393
,1.077549,-6.840042,30.621393
,0.767382,-6.821762,30.271394
,0.470173,-6.79974,29.933414
,0.185542,-6.774928,29.606934
,-0.086912,-6.748185,29.291447
,-0.347607,-6.720275,28.986455
,-0.596972,-6.691883,28.691481
,-0.835445,-6.663617,28.406064
,-1.063468,-6.636018,28.129767
,-1.281487,-6.609564,27.862177
,-1.489948,-6.584676,27.602903
,-1.689294,-6.561726,27.351582
,-1.879966,-6.541038,27.107872
,-2.062398,-6.522895,26.871459
,-2.237019,-6.507544,26.64205
